Date,Weight,BF %,Goal
08/21/18,149.00,10.5,Cutting
08/22/18,148.60,10.4,Cutting
08/23/18,148.00,10.2,Cutting
08/24/18,148.80,10.2,Cutting
08/25/18,149.60,10.7,Cutting
08/26/18,148.20,10.3,Cutting
08/27/18,149.20,10.5,Cutting
08/28/18,149.20,10.6,Cutting
08/29/18,148.40,10.3,Cutting
08/30/18,148.40,10.4,Cutting
08/31/18,147.80,10.2,Cutting
09/01/18,148.60,10.3,Cutting
09/02/18,148.20,10.5,Cutting
09/03/18,148.40,10.1,Cutting
09/04/18,148.00,10,Cutting
09/05/18,147.40,10.3,Cutting
09/06/18,148.00,10.1,Cutting
09/07/18,147.00,9.7,Cutting
09/08/18,146.20,9.6,Cutting
09/09/18,147.00,9.7,Cutting
09/10/18,146.80,9.9,Cutting
09/11/18,146.60,9.9,Cutting
09/12/18,146.80,9.7,Cutting
09/13/18,146.90,10.1,Cutting
09/14/18,146.80,9.9,Cutting
09/15/18,146.20,9.9,Cutting
09/16/18,146.60,9.8,Cutting
09/17/18,146.40,10,Cutting
09/18/18,146.20,9.7,Cutting
09/19/18,146.40,9.9,Cutting
09/20/18,146.00,9.6,Cutting
09/21/18,145.80,9.5,Cutting
09/22/18,,,
09/23/18,,,
09/24/18,149.40,10.6,Bulking
09/25/18,147.80,10.3,Bulking
09/26/18,148.80,10.4,Bulking
09/27/18,149.20,10.5,Bulking
09/28/18,149.60,10.6,Bulking
09/29/18,150.00,10.9,Bulking
09/30/18,149.20,10.2,Bulking
10/01/18,148.80,10.5,Bulking
10/02/18,148.20,10.2,Bulking
10/03/18,148.00,10,Bulking
10/04/18,148.60,10.4,Bulking
10/05/18,148.40,10.3,Bulking
10/06/18,148.20,10.4,Bulking
10/07/18,150.20,10.8,Bulking
10/08/18,149.00,10.4,Bulking
10/09/18,148.00,10.1,Bulking
10/10/18,148.40,10.4,Bulking
10/11/18,148.00,10.3,Bulking
10/12/18,147.80,10.2,Bulking
10/13/18,148.20,10.1,Bulking
10/14/18,148.00,10.1,Bulking
